0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5899546146392822, 'RMSE_adversarial': 0.14467476308345795, 'RMSE_pred': 75.4271240234375, 'L0': tensor(23.)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5889415144920349, 'RMSE_adversarial': 0.14475642144680023, 'RMSE_pred': 75.42784118652344, 'L0': tensor(23.)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5864737629890442, 'RMSE_adversarial': 0.1448962390422821, 'RMSE_pred': 75.42963409423828, 'L0': tensor(23.0519)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.586403489112854, 'RMSE_adversarial': 0.14488475024700165, 'RMSE_pred': 75.42989349365234, 'L0': tensor(23.1039)}
0.125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5867201685905457, 'RMSE_adversarial': 0.14485491812229156, 'RMSE_pred': 75.4297103881836, 'L0': tensor(23.1039)}
0.125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5888864398002625, 'RMSE_adversarial': 0.14471949636936188, 'RMSE_pred': 75.42802429199219, 'L0': tensor(23.1169)}
0.0625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 7.23842716217041, 'RMSE_adversarial': 0.06805752962827682, 'RMSE_pred': 69.87408447265625, 'L0': tensor(23.)}
0.0625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.836459159851074, 'RMSE_adversarial': 0.13915561139583588, 'RMSE_pred': 74.70069885253906, 'L0': tensor(21.5325)}
0.0625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7753363847732544, 'RMSE_adversarial': 0.14309629797935486, 'RMSE_pred': 75.41765594482422, 'L0': tensor(23.)}
0.0625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5892121195793152, 'RMSE_adversarial': 0.1447448879480362, 'RMSE_pred': 75.42736053466797, 'L0': tensor(23.)}
0.0625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5867229104042053, 'RMSE_adversarial': 0.14490461349487305, 'RMSE_pred': 75.42940521240234, 'L0': tensor(23.)}
