0.125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6295390129089355, 'RMSE_adversarial': 0.07540779560804367, 'RMSE_pred': 75.41167449951172, 'L0': tensor(10.3636)}
0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.39707693457603455, 'RMSE_adversarial': 0.07720161974430084, 'RMSE_pred': 75.57105255126953, 'L0': tensor(13.3506)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3498775064945221, 'RMSE_adversarial': 0.07775796949863434, 'RMSE_pred': 75.62451171875, 'L0': tensor(15.5065)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.33237630128860474, 'RMSE_adversarial': 0.07833179086446762, 'RMSE_pred': 75.6705093383789, 'L0': tensor(17.4935)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.32998931407928467, 'RMSE_adversarial': 0.07860080897808075, 'RMSE_pred': 75.6778335571289, 'L0': tensor(18.2078)}
0.125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.279845267534256, 'RMSE_adversarial': 0.07922044396400452, 'RMSE_pred': 75.6869888305664, 'L0': tensor(18.7013)}
0.125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.227962464094162, 'RMSE_adversarial': 0.08046605437994003, 'RMSE_pred': 75.69721221923828, 'L0': tensor(19.8312)}
0.0625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.2925150394439697, 'RMSE_adversarial': 0.040415890514850616, 'RMSE_pred': 72.8666763305664, 'L0': tensor(4.5325)}
0.0625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.8104240894317627, 'RMSE_adversarial': 0.05691029131412506, 'RMSE_pred': 73.27571868896484, 'L0': tensor(2.2208)}
0.0625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.06325364112854, 'RMSE_adversarial': 0.07016873359680176, 'RMSE_pred': 75.21607971191406, 'L0': tensor(8.3896)}
0.0625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7460352182388306, 'RMSE_adversarial': 0.07546935975551605, 'RMSE_pred': 75.42829132080078, 'L0': tensor(11.1299)}
0.0625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6417775750160217, 'RMSE_adversarial': 0.07665753364562988, 'RMSE_pred': 75.5389404296875, 'L0': tensor(13.0779)}
0.0625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.504010021686554, 'RMSE_adversarial': 0.07528532296419144, 'RMSE_pred': 75.62671661376953, 'L0': tensor(15.6234)}
0.0625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5036043524742126, 'RMSE_adversarial': 0.07549061626195908, 'RMSE_pred': 75.64881896972656, 'L0': tensor(16.3636)}
0.0625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5756607055664062, 'RMSE_adversarial': 0.07572601735591888, 'RMSE_pred': 75.65565490722656, 'L0': tensor(17.3117)}
0.0625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5511318445205688, 'RMSE_adversarial': 0.07829435914754868, 'RMSE_pred': 75.65361785888672, 'L0': tensor(18.3636)}
0.03125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.744683265686035, 'RMSE_adversarial': 0.039728760719299316, 'RMSE_pred': 72.63265991210938, 'L0': tensor(3.3117)}
0.03125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.9795186519622803, 'RMSE_adversarial': 0.05493058264255524, 'RMSE_pred': 73.16248321533203, 'L0': tensor(1.8701)}
0.03125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6317082643508911, 'RMSE_adversarial': 0.06493397057056427, 'RMSE_pred': 74.79624938964844, 'L0': tensor(5.8182)}
