0.125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4725303649902344, 'RMSE_adversarial': 0.05605601891875267, 'RMSE_pred': 75.74678039550781, 'L0': tensor(7.2727)}
0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3151179850101471, 'RMSE_adversarial': 0.05174162611365318, 'RMSE_pred': 75.92706298828125, 'L0': tensor(10.0519)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.25592508912086487, 'RMSE_adversarial': 0.05130648985505104, 'RMSE_pred': 75.96768951416016, 'L0': tensor(12.4935)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.13754795491695404, 'RMSE_adversarial': 0.05223096162080765, 'RMSE_pred': 75.98851013183594, 'L0': tensor(15.7273)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.13373909890651703, 'RMSE_adversarial': 0.0536494180560112, 'RMSE_pred': 75.99072265625, 'L0': tensor(16.8182)}
0.125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1128968596458435, 'RMSE_adversarial': 0.05591166019439697, 'RMSE_pred': 75.99404907226562, 'L0': tensor(17.3636)}
0.125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.08684621751308441, 'RMSE_adversarial': 0.058154910802841187, 'RMSE_pred': 75.99591064453125, 'L0': tensor(17.9870)}
0.0625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.361246585845947, 'RMSE_adversarial': 0.036616694182157516, 'RMSE_pred': 73.89277648925781, 'L0': tensor(8.2468)}
0.0625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.808372139930725, 'RMSE_adversarial': 0.05887636914849281, 'RMSE_pred': 74.72129821777344, 'L0': tensor(6.2597)}
0.0625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6400299072265625, 'RMSE_adversarial': 0.05779936537146568, 'RMSE_pred': 75.78448486328125, 'L0': tensor(6.0130)}
0.0625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4578228294849396, 'RMSE_adversarial': 0.05179855599999428, 'RMSE_pred': 75.88770294189453, 'L0': tensor(8.8442)}
0.0625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.43679216504096985, 'RMSE_adversarial': 0.04925983026623726, 'RMSE_pred': 75.94243621826172, 'L0': tensor(11.6104)}
0.0625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4349924623966217, 'RMSE_adversarial': 0.050236836075782776, 'RMSE_pred': 75.95555877685547, 'L0': tensor(14.6623)}
0.0625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3804156184196472, 'RMSE_adversarial': 0.05108502879738808, 'RMSE_pred': 75.97171020507812, 'L0': tensor(15.5584)}
0.0625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2547525465488434, 'RMSE_adversarial': 0.05295063182711601, 'RMSE_pred': 75.98052215576172, 'L0': tensor(15.9610)}
0.0625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3298061788082123, 'RMSE_adversarial': 0.055363669991493225, 'RMSE_pred': 75.97805786132812, 'L0': tensor(16.6883)}
0.03125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 7.963127613067627, 'RMSE_adversarial': 0.042174819856882095, 'RMSE_pred': 70.9834976196289, 'L0': tensor(6.6104)}
0.03125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.6737594604492188, 'RMSE_adversarial': 0.06580915302038193, 'RMSE_pred': 74.22256469726562, 'L0': tensor(4.9870)}
0.03125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1586042642593384, 'RMSE_adversarial': 0.05756456404924393, 'RMSE_pred': 75.62460327148438, 'L0': tensor(5.7143)}
0.03125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9809263348579407, 'RMSE_adversarial': 0.051123958081007004, 'RMSE_pred': 75.78765106201172, 'L0': tensor(7.6234)}
0.03125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8115062713623047, 'RMSE_adversarial': 0.04781819134950638, 'RMSE_pred': 75.8935317993164, 'L0': tensor(10.2987)}
0.03125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8257248401641846, 'RMSE_adversarial': 0.047977667301893234, 'RMSE_pred': 75.91908264160156, 'L0': tensor(12.9351)}
0.03125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8360808491706848, 'RMSE_adversarial': 0.04851764440536499, 'RMSE_pred': 75.92698669433594, 'L0': tensor(13.6104)}
0.03125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9158332943916321, 'RMSE_adversarial': 0.04979107901453972, 'RMSE_pred': 75.92442321777344, 'L0': tensor(14.0390)}
0.03125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8990867137908936, 'RMSE_adversarial': 0.05209008604288101, 'RMSE_pred': 75.93611145019531, 'L0': tensor(14.4675)}
0.015625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.452031135559082, 'RMSE_adversarial': 0.03995310142636299, 'RMSE_pred': 68.90753936767578, 'L0': tensor(6.2468)}
0.015625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.384634017944336, 'RMSE_adversarial': 0.06856358051300049, 'RMSE_pred': 73.16448211669922, 'L0': tensor(4.5584)}
0.015625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.1968324184417725, 'RMSE_adversarial': 0.05732622370123863, 'RMSE_pred': 75.32466888427734, 'L0': tensor(5.2597)}
0.015625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.826171636581421, 'RMSE_adversarial': 0.050738636404275894, 'RMSE_pred': 75.62884521484375, 'L0': tensor(7.)}
0.015625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.668848991394043, 'RMSE_adversarial': 0.0482751727104187, 'RMSE_pred': 75.72779083251953, 'L0': tensor(9.0519)}
0.015625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.4489645957946777, 'RMSE_adversarial': 0.047026004642248154, 'RMSE_pred': 75.66236114501953, 'L0': tensor(11.5065)}
0.015625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.9656260013580322, 'RMSE_adversarial': 0.04671656712889671, 'RMSE_pred': 75.64129638671875, 'L0': tensor(11.8701)}
0.015625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.422563314437866, 'RMSE_adversarial': 0.04775948077440262, 'RMSE_pred': 75.54803466796875, 'L0': tensor(11.9870)}
0.015625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.4677183628082275, 'RMSE_adversarial': 0.05027472600340843, 'RMSE_pred': 75.57571411132812, 'L0': tensor(11.8571)}
0.0078125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 16.136764526367188, 'RMSE_adversarial': 0.036267563700675964, 'RMSE_pred': 63.326900482177734, 'L0': tensor(4.7662)}
0.0078125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 7.289300441741943, 'RMSE_adversarial': 0.06551321595907211, 'RMSE_pred': 71.07268524169922, 'L0': tensor(4.7273)}
0.0078125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.63270378112793, 'RMSE_adversarial': 0.057752080261707306, 'RMSE_pred': 74.34362030029297, 'L0': tensor(5.2597)}
0.0078125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.52475643157959, 'RMSE_adversarial': 0.05095066502690315, 'RMSE_pred': 74.7389144897461, 'L0': tensor(7.5195)}
0.0078125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 5.3967976570129395, 'RMSE_adversarial': 0.0527602918446064, 'RMSE_pred': 74.5509033203125, 'L0': tensor(8.4675)}
0.0078125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.244474411010742, 'RMSE_adversarial': 0.04794958606362343, 'RMSE_pred': 74.54795837402344, 'L0': tensor(9.9610)}
