0.125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.31881827116012573, 'RMSE_adversarial': 0.06678932905197144, 'RMSE_pred': 75.93070983886719, 'L0': tensor(8.2857)}
0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2601090669631958, 'RMSE_adversarial': 0.062166549265384674, 'RMSE_pred': 75.95648193359375, 'L0': tensor(11.6883)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.21322423219680786, 'RMSE_adversarial': 0.06188005208969116, 'RMSE_pred': 75.97695922851562, 'L0': tensor(14.0260)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.20297551155090332, 'RMSE_adversarial': 0.0637802928686142, 'RMSE_pred': 75.98311614990234, 'L0': tensor(16.4935)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2827661633491516, 'RMSE_adversarial': 0.06435564905405045, 'RMSE_pred': 75.97798156738281, 'L0': tensor(17.7143)}
0.125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1829468309879303, 'RMSE_adversarial': 0.06557052582502365, 'RMSE_pred': 75.98566436767578, 'L0': tensor(18.0909)}
0.125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.15042470395565033, 'RMSE_adversarial': 0.06734535843133926, 'RMSE_pred': 75.9876708984375, 'L0': tensor(19.0260)}
0.0625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6066995859146118, 'RMSE_adversarial': 0.05224836245179176, 'RMSE_pred': 74.80512237548828, 'L0': tensor(8.1558)}
0.0625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6824332475662231, 'RMSE_adversarial': 0.07514146715402603, 'RMSE_pred': 74.82012176513672, 'L0': tensor(4.9610)}
0.0625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6919065713882446, 'RMSE_adversarial': 0.06435743719339371, 'RMSE_pred': 75.8164291381836, 'L0': tensor(7.7403)}
0.0625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4519423842430115, 'RMSE_adversarial': 0.06252111494541168, 'RMSE_pred': 75.92266082763672, 'L0': tensor(10.4545)}
0.0625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.34449535608291626, 'RMSE_adversarial': 0.05995984002947807, 'RMSE_pred': 75.96623229980469, 'L0': tensor(12.7532)}
0.0625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.49585193395614624, 'RMSE_adversarial': 0.061049651354551315, 'RMSE_pred': 75.95330810546875, 'L0': tensor(15.2208)}
0.0625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5685096383094788, 'RMSE_adversarial': 0.06171158701181412, 'RMSE_pred': 75.94900512695312, 'L0': tensor(16.0260)}
0.0625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6049048900604248, 'RMSE_adversarial': 0.06274647265672684, 'RMSE_pred': 75.94712829589844, 'L0': tensor(16.8701)}
0.0625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24767662584781647, 'RMSE_adversarial': 0.06572172790765762, 'RMSE_pred': 75.98161315917969, 'L0': tensor(17.6753)}
0.03125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.7486536502838135, 'RMSE_adversarial': 0.05554278939962387, 'RMSE_pred': 73.97416687011719, 'L0': tensor(7.0909)}
0.03125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.7867300510406494, 'RMSE_adversarial': 0.07930491119623184, 'RMSE_pred': 73.9676284790039, 'L0': tensor(3.6494)}
0.03125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0844635963439941, 'RMSE_adversarial': 0.06376092880964279, 'RMSE_pred': 75.76241302490234, 'L0': tensor(6.1299)}
0.03125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9021528959274292, 'RMSE_adversarial': 0.05953654646873474, 'RMSE_pred': 75.8468246459961, 'L0': tensor(8.7922)}
0.03125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9549176096916199, 'RMSE_adversarial': 0.05877036228775978, 'RMSE_pred': 75.87137603759766, 'L0': tensor(10.9740)}
0.03125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0394394397735596, 'RMSE_adversarial': 0.060166820883750916, 'RMSE_pred': 75.87629699707031, 'L0': tensor(12.8701)}
0.03125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1025580167770386, 'RMSE_adversarial': 0.060894858092069626, 'RMSE_pred': 75.87199401855469, 'L0': tensor(13.4675)}
0.03125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0027343034744263, 'RMSE_adversarial': 0.06204904615879059, 'RMSE_pred': 75.89700317382812, 'L0': tensor(14.0519)}
0.03125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7329044342041016, 'RMSE_adversarial': 0.0632411539554596, 'RMSE_pred': 75.94257354736328, 'L0': tensor(16.)}
0.015625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.786487102508545, 'RMSE_adversarial': 0.05502311885356903, 'RMSE_pred': 72.24170684814453, 'L0': tensor(5.9221)}
0.015625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.90690541267395, 'RMSE_adversarial': 0.08280839771032333, 'RMSE_pred': 73.18920135498047, 'L0': tensor(2.8961)}
0.015625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.134481430053711, 'RMSE_adversarial': 0.06422019749879837, 'RMSE_pred': 75.38435363769531, 'L0': tensor(5.2987)}
0.015625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.0863516330718994, 'RMSE_adversarial': 0.061566777527332306, 'RMSE_pred': 75.5365219116211, 'L0': tensor(7.1039)}
0.015625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.847710371017456, 'RMSE_adversarial': 0.060293104499578476, 'RMSE_pred': 75.64717102050781, 'L0': tensor(8.5974)}
0.015625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.2936525344848633, 'RMSE_adversarial': 0.06031311675906181, 'RMSE_pred': 75.59426879882812, 'L0': tensor(10.5195)}
0.015625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.765652894973755, 'RMSE_adversarial': 0.05952368304133415, 'RMSE_pred': 75.56069946289062, 'L0': tensor(11.2597)}
0.015625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.509535074234009, 'RMSE_adversarial': 0.05961741879582405, 'RMSE_pred': 75.63636016845703, 'L0': tensor(11.8312)}
0.015625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3174328804016113, 'RMSE_adversarial': 0.06060316041111946, 'RMSE_pred': 75.86121368408203, 'L0': tensor(13.5584)}
0.0078125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 8.19791030883789, 'RMSE_adversarial': 0.05736250802874565, 'RMSE_pred': 69.01095581054688, 'L0': tensor(4.5844)}
0.0078125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 8.07795238494873, 'RMSE_adversarial': 0.07964099198579788, 'RMSE_pred': 69.587890625, 'L0': tensor(2.8442)}
0.0078125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 5.160370826721191, 'RMSE_adversarial': 0.06534916162490845, 'RMSE_pred': 73.86416625976562, 'L0': tensor(4.6104)}
0.0078125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.9847636222839355, 'RMSE_adversarial': 0.05879737064242363, 'RMSE_pred': 74.55052185058594, 'L0': tensor(6.0649)}
