0.5, 8, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24454280734062195, 'RMSE_adversarial': 0.08040867000818253, 'RMSE_pred': 75.66213989257812, 'L0': tensor(18.3766)}
0.5, 8, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2433820515871048, 'RMSE_adversarial': 0.08042444288730621, 'RMSE_pred': 75.66388702392578, 'L0': tensor(18.3506)}
0.5, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24392330646514893, 'RMSE_adversarial': 0.08041408658027649, 'RMSE_pred': 75.66297912597656, 'L0': tensor(18.3506)}
0.5, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24453814327716827, 'RMSE_adversarial': 0.08053147047758102, 'RMSE_pred': 75.66171264648438, 'L0': tensor(18.3247)}
0.25, 1, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.30463311076164246, 'RMSE_adversarial': 0.07937094569206238, 'RMSE_pred': 75.64881134033203, 'L0': tensor(17.2338)}
0.25, 1, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.30432096123695374, 'RMSE_adversarial': 0.07937397062778473, 'RMSE_pred': 75.6490478515625, 'L0': tensor(17.1948)}
0.25, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.273590624332428, 'RMSE_adversarial': 0.07961320132017136, 'RMSE_pred': 75.65189361572266, 'L0': tensor(16.9870)}
0.25, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2677015960216522, 'RMSE_adversarial': 0.08010424673557281, 'RMSE_pred': 75.65166473388672, 'L0': tensor(16.9091)}
0.25, 2, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3049008548259735, 'RMSE_adversarial': 0.0793641060590744, 'RMSE_pred': 75.6484603881836, 'L0': tensor(17.2468)}
0.25, 2, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3052193522453308, 'RMSE_adversarial': 0.079364113509655, 'RMSE_pred': 75.64849853515625, 'L0': tensor(17.1558)}
0.25, 2, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2679923176765442, 'RMSE_adversarial': 0.07982490211725235, 'RMSE_pred': 75.65250396728516, 'L0': tensor(16.9870)}
0.25, 2, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.27216780185699463, 'RMSE_adversarial': 0.07980258017778397, 'RMSE_pred': 75.65052032470703, 'L0': tensor(16.9610)}
0.25, 5, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.30583593249320984, 'RMSE_adversarial': 0.07934778928756714, 'RMSE_pred': 75.6474838256836, 'L0': tensor(17.2338)}
0.25, 5, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3059990704059601, 'RMSE_adversarial': 0.07934686541557312, 'RMSE_pred': 75.64679718017578, 'L0': tensor(17.2078)}
0.25, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3071346879005432, 'RMSE_adversarial': 0.0793449878692627, 'RMSE_pred': 75.64672088623047, 'L0': tensor(17.0779)}
0.25, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2729872167110443, 'RMSE_adversarial': 0.07981165498495102, 'RMSE_pred': 75.64901733398438, 'L0': tensor(16.9351)}
0.25, 8, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.30745425820350647, 'RMSE_adversarial': 0.07932010293006897, 'RMSE_pred': 75.64537811279297, 'L0': tensor(17.2468)}
0.25, 8, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3087369501590729, 'RMSE_adversarial': 0.0793052464723587, 'RMSE_pred': 75.6430892944336, 'L0': tensor(17.2078)}
0.25, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2735910415649414, 'RMSE_adversarial': 0.07966182380914688, 'RMSE_pred': 75.64903259277344, 'L0': tensor(16.9870)}
0.25, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2714587450027466, 'RMSE_adversarial': 0.07977879792451859, 'RMSE_pred': 75.64842224121094, 'L0': tensor(16.9740)}
0.125, 1, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.562309741973877, 'RMSE_adversarial': 0.07633327692747116, 'RMSE_pred': 75.60881042480469, 'L0': tensor(16.6753)}
0.125, 1, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5629697442054749, 'RMSE_adversarial': 0.07633528858423233, 'RMSE_pred': 75.60897827148438, 'L0': tensor(16.3896)}
0.125, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5643237233161926, 'RMSE_adversarial': 0.07633621245622635, 'RMSE_pred': 75.60859680175781, 'L0': tensor(15.9740)}
0.125, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.31126177310943604, 'RMSE_adversarial': 0.07838677614927292, 'RMSE_pred': 75.62629699707031, 'L0': tensor(15.3247)}
0.125, 2, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5627325177192688, 'RMSE_adversarial': 0.07632589340209961, 'RMSE_pred': 75.60832977294922, 'L0': tensor(16.7403)}
0.125, 2, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5643154978752136, 'RMSE_adversarial': 0.07632695883512497, 'RMSE_pred': 75.6084213256836, 'L0': tensor(16.2857)}
0.125, 2, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5660046935081482, 'RMSE_adversarial': 0.07631736248731613, 'RMSE_pred': 75.6075210571289, 'L0': tensor(15.9610)}
0.125, 2, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.31068623065948486, 'RMSE_adversarial': 0.0782586857676506, 'RMSE_pred': 75.62894439697266, 'L0': tensor(15.4286)}
0.125, 5, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5645898580551147, 'RMSE_adversarial': 0.076298289000988, 'RMSE_pred': 75.6059799194336, 'L0': tensor(16.5325)}
0.125, 5, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5660001039505005, 'RMSE_adversarial': 0.07630635797977448, 'RMSE_pred': 75.60673522949219, 'L0': tensor(16.2338)}
0.125, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5659570097923279, 'RMSE_adversarial': 0.07630889117717743, 'RMSE_pred': 75.607177734375, 'L0': tensor(16.0130)}
0.125, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.318543940782547, 'RMSE_adversarial': 0.07807588577270508, 'RMSE_pred': 75.6263656616211, 'L0': tensor(15.4416)}
0.125, 8, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5657251477241516, 'RMSE_adversarial': 0.0762735977768898, 'RMSE_pred': 75.60505676269531, 'L0': tensor(16.5844)}
0.125, 8, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5682311654090881, 'RMSE_adversarial': 0.07627777010202408, 'RMSE_pred': 75.60475158691406, 'L0': tensor(16.2727)}
0.125, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5682324767112732, 'RMSE_adversarial': 0.07628113031387329, 'RMSE_pred': 75.60470581054688, 'L0': tensor(15.9740)}
0.125, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3503725230693817, 'RMSE_adversarial': 0.07778573036193848, 'RMSE_pred': 75.62220001220703, 'L0': tensor(15.4805)}
0.0625, 1, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6824773550033569, 'RMSE_adversarial': 0.07664871960878372, 'RMSE_pred': 75.5372314453125, 'L0': tensor(14.0779)}
0.0625, 1, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6845033168792725, 'RMSE_adversarial': 0.076652891933918, 'RMSE_pred': 75.537109375, 'L0': tensor(13.6883)}
0.0625, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6865429282188416, 'RMSE_adversarial': 0.0766560286283493, 'RMSE_pred': 75.5369873046875, 'L0': tensor(13.4026)}
0.0625, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5982557535171509, 'RMSE_adversarial': 0.07674691081047058, 'RMSE_pred': 75.54334259033203, 'L0': tensor(13.1039)}
