0.5, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0082076787948608, 'RMSE_adversarial': 0.06365526467561722, 'RMSE_pred': 74.9687271118164, 'L0': tensor(10.1299)}
0.5, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0095458030700684, 'RMSE_adversarial': 0.06437463313341141, 'RMSE_pred': 74.98145294189453, 'L0': tensor(8.8442)}
0.5, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8959463238716125, 'RMSE_adversarial': 0.0666312426328659, 'RMSE_pred': 75.01659393310547, 'L0': tensor(7.8312)}
0.5, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8103466629981995, 'RMSE_adversarial': 0.06827117502689362, 'RMSE_pred': 75.0638656616211, 'L0': tensor(7.5974)}
0.25, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.5110106468200684, 'RMSE_adversarial': 0.061734188348054886, 'RMSE_pred': 74.47509002685547, 'L0': tensor(7.9481)}
0.25, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3984696865081787, 'RMSE_adversarial': 0.06361017376184464, 'RMSE_pred': 74.56843566894531, 'L0': tensor(7.2597)}
0.25, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1674835681915283, 'RMSE_adversarial': 0.06999717652797699, 'RMSE_pred': 74.7635726928711, 'L0': tensor(7.1558)}
0.25, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.073265552520752, 'RMSE_adversarial': 0.0793142169713974, 'RMSE_pred': 74.84451293945312, 'L0': tensor(9.1039)}
0.25, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.586936593055725, 'RMSE_adversarial': 0.060992512851953506, 'RMSE_pred': 74.40721893310547, 'L0': tensor(8.1948)}
0.25, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.504277229309082, 'RMSE_adversarial': 0.06280579417943954, 'RMSE_pred': 74.5103530883789, 'L0': tensor(6.9221)}
