0.5, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3291081488132477, 'RMSE_adversarial': 0.037834566086530685, 'RMSE_pred': 75.73162078857422, 'L0': tensor(15.)}
0.5, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.36619606614112854, 'RMSE_adversarial': 0.03836433216929436, 'RMSE_pred': 75.7142105102539, 'L0': tensor(13.5844)}
0.5, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3792479932308197, 'RMSE_adversarial': 0.03858669847249985, 'RMSE_pred': 75.7066421508789, 'L0': tensor(12.4545)}
0.5, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1379603147506714, 'RMSE_adversarial': 0.045492518693208694, 'RMSE_pred': 75.54478454589844, 'L0': tensor(9.3506)}
0.25, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5632907748222351, 'RMSE_adversarial': 0.03894476592540741, 'RMSE_pred': 75.53009796142578, 'L0': tensor(13.0779)}
0.25, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.678862452507019, 'RMSE_adversarial': 0.043549664318561554, 'RMSE_pred': 75.48596954345703, 'L0': tensor(11.8571)}
0.25, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.910051107406616, 'RMSE_adversarial': 0.04828747734427452, 'RMSE_pred': 73.39629364013672, 'L0': tensor(9.9740)}
0.25, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 29.488849639892578, 'RMSE_adversarial': 0.03831438720226288, 'RMSE_pred': 57.173736572265625, 'L0': tensor(4.4545)}
0.25, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.574235200881958, 'RMSE_adversarial': 0.03952576592564583, 'RMSE_pred': 75.52019500732422, 'L0': tensor(13.3506)}
0.25, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5876296162605286, 'RMSE_adversarial': 0.04163191467523575, 'RMSE_pred': 75.52239990234375, 'L0': tensor(11.7403)}
