0.5, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.14785800874233246, 'RMSE_adversarial': 0.06555770337581635, 'RMSE_pred': 75.92478942871094, 'L0': tensor(12.0519)}
0.5, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1454385221004486, 'RMSE_adversarial': 0.06517810374498367, 'RMSE_pred': 75.92747497558594, 'L0': tensor(11.4156)}
0.5, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06951765716075897, 'RMSE_adversarial': 0.06753093004226685, 'RMSE_pred': 75.9601821899414, 'L0': tensor(10.8961)}
0.5, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.057743173092603683, 'RMSE_adversarial': 0.06679870188236237, 'RMSE_pred': 75.96060180664062, 'L0': tensor(10.5455)}
0.25, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.13713105022907257, 'RMSE_adversarial': 0.06511856615543365, 'RMSE_pred': 75.95280456542969, 'L0': tensor(10.3896)}
0.25, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1671132594347, 'RMSE_adversarial': 0.06440775096416473, 'RMSE_pred': 75.94990539550781, 'L0': tensor(9.8442)}
0.25, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.09006109088659286, 'RMSE_adversarial': 0.07234764099121094, 'RMSE_pred': 75.95126342773438, 'L0': tensor(10.2597)}
0.25, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06436123698949814, 'RMSE_adversarial': 0.07320757955312729, 'RMSE_pred': 75.96723937988281, 'L0': tensor(10.7532)}
0.25, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.15219004452228546, 'RMSE_adversarial': 0.06481261551380157, 'RMSE_pred': 75.93719482421875, 'L0': tensor(10.5065)}
0.25, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1630551517009735, 'RMSE_adversarial': 0.06476014852523804, 'RMSE_pred': 75.94319915771484, 'L0': tensor(9.8571)}
0.25, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.17966559529304504, 'RMSE_adversarial': 0.06551098078489304, 'RMSE_pred': 75.90791320800781, 'L0': tensor(9.2468)}
0.25, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.059957943856716156, 'RMSE_adversarial': 0.06964802742004395, 'RMSE_pred': 75.97371673583984, 'L0': tensor(9.3896)}
